reef_name,reef_id,dist_year,survival_rate_Tabular_Acropora,survival_rate_Corymbose_Acropora,survival_rate_Corymbose_non_Acropora,survival_rate_Small_Massives,survival_rate_Large_Massives
Agincourt Reef No.1,15099103104,2011,0.889498168891644,0.8641124923429144,0.6655020545346388,0.8507673616276322,0.6400756708738953
Agincourt Reef No.1,15099103104,2012,0.15461912555162113,0.6506720323345636,0.39507919325010277,1.7258235303279728,1.609013652370818
Arlington Reef,16064100104,2012,0.5143251116351553,0.6571989582285629,0.8602576800673335,1.0961998753971531,1.4740165708530424
Ben Reef,20113100104,2011,0.2535675475020138,0.1519036523598733,0.2615893747331648,0.25670483254681864,0.27084810250549257
Boult Reef,23079100104,2010,0.1329707544419803,0.5553492060120826,2.0985675148350493,12.85139944415487,3.70939956788828
Bowden Reef,19019100104,2011,0.5969976857342212,0.7164963379316213,0.9037926203211091,1.4267099754962707,1.3651307684294836
Broomfield Reef,23048100104,2009,0.2998642218970992,0.5037538092251244,0.8569770076701191,1.1132951351513842,0.8788227176817189
Broomfield Reef,23048100104,2010,0.6162883451140712,0.9863350604130141,0.5246372202380525,1.8747667792104274,2.2767665882829453
Carter Reef,14137100104,2013,0.4701517844741355,0.6966569791040428,0.923237720189322,1.324200626091049,1.3156978215993849
Carter Reef,14137100104,2015,0.8167050434383516,0.8658280392080723,0.7835734888166642,0.8032058422073264,0.6311790442563325
Carter Reef,14137100104,2017,0.0711682715700089,0.28631229348719844,1.4534335808610206,1.2079688262162855,0.8064732019497821
Chicken Reef,18086100104,2011,0.2731343661478714,0.5324289825418769,0.2689558426894187,0.7969735310219282,0.765645393647656
Chinaman Reef (22-102),22102100104,2010,0.7566095460305989,0.7953273420413127,1.1370683000779827,0.9283370772767541,1.0238313619320727
Chinaman Reef (22-102),22102100104,2018,0.8547173000725999,0.7360121760561129,1.0904355320718984,0.8230715531515128,1.65190499394528
Chinaman Reef (22-102),22102100104,2019,0.3839945978382655,0.40802074549742307,1.1973989609096543,0.9971332383083109,1.5356268461826632
Chinaman Reef (22-102),22102100104,2020,0.9413312174662567,1.2801407883023954,0.8517201170744005,1.1070225642716671,0.9689839905675204
Creal Reef,20297100104,2009,0.11349954519488623,0.19179988110768387,0.20628986440832645,0.21628061720985076,0.2591501858937579
Creal Reef,20297100104,2013,0.39064657522657426,0.6601433208822818,0.710015435715578,0.7444019467729511,0.8919518788810779
Credlin Reef East,20287100104,2019,0.29268791984779025,0.4151396154880345,0.32958117575887524,0.571702030070706,0.6485106935337218
Davies Reef,18096100104,2013,0.17312086380347494,0.43698965380099125,0.3182405039454086,0.7873478256107268,0.7272553297377061
Dip Reef,18039100104,2011,0.05397913014469219,0.6955859598241737,0.18100614643144539,0.7285088844777006,0.6954858603121634
East Cay,21305100104,2015,0.30046802214671403,0.3993859345021642,1.1280100199626344,1.4762326628155824,1.672395612427707
Erskine Island,23068100104,2010,0.6717554056119611,0.7448998941820663,0.24145817945024897,1.1364334745539713,NaN
Erskine Island,23068100104,2021,0.7785745350203862,0.9157628341798926,1.1539968432049656,0.9476994645085951,NaN
Fairfax Island,23081100104,2008,1.0557572051820099,1.0397860762609223,1.7461074743726726,0.8664902853126283,Inf
Fairfax Island,23081100104,2010,0.3046090857614703,0.3538099090525119,0.5713497988330564,1.5064948190026302,1.6395993188777933
Fairfax Island,23081100104,2012,1.0604491097883104,1.0220852182388618,0.27621760543495555,1.0024071436748931,3.08026855766476
Fairfax Island,23081100104,2014,1.1119094714831332,1.0281105072404473,1.87827036937951,0.8807774420527235,0.8254177326267295
Farquharson Reef,17063101104,2012,0.6122264829810938,0.6122264829810938,0.8449495018733424,1.029599305606534,0.696148183303303
Farquharson Reef,17063101104,2018,0.5562764968730632,0.5562764968730632,0.1736943038767507,1.1130831743777576,0.8397437598346693
Fitzroy Island,16054101104,2012,0.6008414855474857,0.8658299407140683,1.4980939167145124,0.8391788503116298,0.6701650368455532
Fitzroy Island,16054101104,2017,1.2151089823814012,0.9590497809132308,1.3063532089747525,0.7163685828566048,0.976265272343003
Fork Reef,18083100104,2012,0.06072550339412152,0.2579239903601346,0.17584184267208,0.9732584570140607,0.6679971751378463
Forrester Reef,15009100104,2013,0.7362475392561644,1.2278178794820742,0.27017626779585097,0.34182161285450025,0.3944925983868337
Forrester Reef,15009100104,2015,0.7362475392561644,1.2278178794820742,0.27017626779585097,0.34182161285450025,0.3944925983868337
Gannet Cay,21556100104,2010,0.3565156089270724,0.4627077182060729,0.35464333454125785,1.277212042864055,1.6314891916673626
Gannet Cay,21556100104,2019,0.5503394930451907,0.5956151098828019,0.6231403608868462,0.7187871406615656,1.1029269081769493
Gannet Cay,21556100104,2021,0.09485568565408964,0.17579605809312088,0.06317278825362506,0.8584758104343545,1.9389241919465663
Green Island,16049100104,2013,0.0580210967847401,0.09224292996059616,NaN,0.7826323882120635,1.6009301517402692
Grub Reef (18-077),18077100104,2012,0.22556574021680229,0.7444401961498013,0.244643099801487,0.7266207290834255,0.9964862096755284
Harrier Reef,15025100104,2017,0.23376865427789026,0.30816963372519374,0.39465852196700885,0.46406441413180244,0.4259229026253511
Hedley Reef,17014100104,2012,0.4719179598221685,0.6134201150910573,1.4121202437420521,1.7033045177157944,1.3078323821427307
Helix Reef,18076100104,2008,0.3302366734954451,0.33600279270786265,0.7113894625144265,1.2480005674677053,0.8252090557020092
Helix Reef,18076100104,2012,0.09074069087648304,0.32663491240495823,0.421116334898938,0.7437299596654957,0.9879830147654748
Helsdon Reef,14135100104,2011,0.6334920440794568,1.056455630420487,0.23246871061962515,0.29411476533627157,0.3394346455524661
Helsdon Reef,14135100104,2013,0.6334920440794568,1.056455630420487,0.23246871061962515,0.29411476533627157,0.3394346455524661
Helsdon Reef,14135100104,2015,0.6334920440794568,1.056455630420487,0.23246871061962515,0.29411476533627157,0.3394346455524661
Horseshoe Reef,22104101104,2019,0.011715760220637639,0.08617675517892959,0.423348152993797,0.554231705670548,1.593439484296623
Hoskyn Island,23080100104,2008,0.7481494578051333,0.8262687472546976,1.0762358986743013,1.5203426740692076,3.804320414178129
Hoskyn Island,23080100104,2010,0.21918193020137614,0.41046639147474084,0.8359523575375168,1.2467893474303393,1.8445184383189581
Hyde Reef,19207100104,2009,0.05401703163641314,0.20634281704653712,0.4519939920497338,0.37721648086392684,0.4496855820013056
Hyde Reef,19207100104,2011,1.113576656371922,2.2002993465001794,0.11738443738204042,1.0575503794995567,0.5822162998362662
Jenkins Reef,21584100104,2010,0.49652360955434544,0.5687281095769161,0.9088465249765544,1.0296001899844909,1.5252201475018754
Jenkins Reef,21584100104,2018,0.06469961974749557,0.06930582763517429,0.2081841864668243,0.06456120184949543,1.640776508747508
John Brewer Reef,18075100104,2020,0.2459015520847726,0.2199906449652208,0.7935759389332286,0.3460822481341345,0.7393820307447945
Knife Reef,18081100104,2012,0.062196396630249055,0.26317187147516424,0.1404482614127339,0.5429850228007872,0.4943835867679261
Lady Musgrave Island,23082101104,2009,0.48022484697120155,0.5358928401484333,1.0346009656676851,7.998260353714276,19.272537286445257
Lady Musgrave Island,23082101104,2010,0.21876326721559394,0.5464470563437905,0.0,2.1421322437117696,1.1628521764167357
Linnet Reef,14126100104,2013,0.5134527980543467,0.5442325887171056,0.7821391161271031,1.0028248996157212,0.8556699584545695
Linnet Reef,14126100104,2017,0.0,0.06925300258346592,0.09599931503197902,0.3156845672563384,1.215870713438984
Little Kelso Reef,18031100104,2012,0.4331540906181978,0.9170239910794479,0.8769447012485911,1.334009595662494,1.66208899915154
Little Kelso Reef,18031100104,2018,0.34227948950593207,0.4107922135049698,0.5181756715225493,0.8179823368750658,0.782676840618279
Little Kelso Reef,18031100104,2020,0.34227948950593207,0.4107922135049698,0.5181756715225493,0.8179823368750658,0.782676840618279
Lizard Isles,14116101104,2015,0.9564036337577928,1.5949655773598044,0.3509656066709997,0.4440346693196182,0.512455572984195
Lizard Isles,14116101104,2017,1.3552138189516987,2.2600493294839175,0.4973145472780152,0.6291924232776278,0.7261441190664373
Macgillivray Reef,14114100104,2015,0.21590040993700552,0.21590040993700552,0.569240813569187,0.8944539562968057,0.9430033859830366
Macgillivray Reef,14114100104,2017,1.1669470438907332,1.1669470438907332,0.41116783365811765,0.9063966119214056,0.8721277844306053
Mackay Reef,16015100104,2015,0.05079598469406431,0.937492209381014,0.3203774275443637,0.4724302402888767,0.6211667130614922
Martin Reef,14123100104,2015,0.05183682351496491,0.05183682351496491,0.05156661760467153,0.43654446229061183,1.6496946493725153
Martin Reef,14123100104,2017,0.4437802285057227,0.4437802285057227,0.666133565479295,0.5752429889943163,0.5772005273185592
Michaelmas Cay,16060100104,2013,0.28550430874058047,0.40704729653668426,0.7568728741426243,1.0718137773149308,1.5084746429003126
Michaelmas Cay,16060100104,2019,0.16983922320363978,0.1891367943561877,1.4486600928096975,2.46387183096461,1.9805616675535052
Moore Reef,16071100104,2012,0.24377817815172298,0.7804153754296115,1.385594480835272,1.534696351588458,1.4013794416014325
Myrmidon Reef,18034100104,2011,0.16871206142227277,0.5355798309749769,0.1880823996517477,0.7654612210382028,0.7807921068671108
No Name Reef,14139100104,2015,0.5669209996130353,0.9250626595097328,1.2389138857861572,1.1576780753780718,0.7332376911801205
No Name Reef,14139100104,2017,0.42365906627087085,0.4054682911784261,0.8159762217854393,0.9545652413480576,0.7245096025543362
North Island,23045101104,2010,0.034592568483656515,0.5051422093645469,0.20380779281296968,1.318265903078641,1.5822872408792548
North Direction Island,14143100104,2011,0.9042049449865844,0.9042049449865844,0.5892074343661341,0.7637013275550464,0.8908340835138353
North Direction Island,14143100104,2015,0.04998801927872703,0.04998801927872703,0.2534309939540143,0.23733920387094928,0.49512486694238717
North Direction Island,14143100104,2017,0.4978265132073172,0.4978265132073172,1.2250874083285863,0.8927189965955413,0.6825234820135443
One Tree Island,23055101104,2009,0.5640080006775432,0.5988642375728235,0.25235224197353084,2.9681014625720734,4.857478140053721
One Tree Island,23055101104,2011,0.041822303495162215,0.33322469646268704,0.0,5.219686768330135,8.223524471931286
Peart Reef,17024100104,2012,0.47651389406445227,0.6229180860146607,0.8296297720888969,1.1915867701101042,0.9054175436050677
Peart Reef,17024100104,2016,0.5129749812521075,0.48885669549888017,0.38030023664645957,0.3781107480696952,0.22471225477926865
Peart Reef,17024100104,2018,0.2700437047970099,0.2531087305388628,0.09528176812772816,0.8876960495159114,0.9367382330126881
Pickersgill Reef,15093100104,2015,1.3199297542479893,2.2012071559022086,0.4843665693140457,0.612810900403854,0.7072383820358208
Pompey Reef No.1,20351101104,2010,0.494618458245172,0.7087392445180545,0.670861840805132,0.7296885001568219,1.0712987984445193
Pompey Reef No.1,20351101104,2018,0.6439981105403101,1.0312458464573666,0.5457778961618955,0.6078921319898455,0.4640945820159966
Pompey Reef No.2,20351102104,2010,0.187847808734915,0.5161323080313792,0.33412596154016805,0.6897303413733524,0.7776025650179397
Pompey Reef No.2,20351102104,2018,0.09975746955979575,0.3741967420895353,0.08385736285673852,1.1381046226226925,1.6498996679909363
Rebe Reef,19209100104,2009,0.1853411102020322,0.5642022419701528,0.21092488808445872,0.6329811740117496,1.0403958310829762
Rebe Reef,19209100104,2011,0.0,0.18330619781345417,0.16151141153343138,1.0692294724139,0.3571627997101739
Reef 19-131,19131101104,2009,0.8097147845021373,1.0082488201730775,1.1419880140003715,0.8255023921936208,0.8613699131109045
Reef 19-131,19131101104,2019,0.26923367270443416,0.5571440096093934,0.7476874069778449,0.8284535778278925,0.6290418969509923
Reef 19-138,19138100104,2011,0.26826979438307075,0.8176636833433073,0.7957896551207845,1.2450200323640255,1.3478261461016328
Reef 19-138,19138100104,2019,0.14726638533411732,0.5138078468875663,0.397843828134612,0.7117432330962653,0.6508296169100836
Reef 20-104,20104100104,2009,0.47960550833697596,0.7873230216026196,0.48461287201531295,0.9941282537269358,1.311250972896518
Reef 20-104,20104100104,2011,1.4951048894013497,0.46492998126510054,0.9733303820917001,0.37612090217785193,0.3668091844118755
